,Title,Company,Job_Type,Job_Link,Country,Governorate,City,score,Category_Title
0,Data Science Instructor,EpsilonAI,Full Time,https://wuzzuf.net/jobs/p/War6yWbG420X-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,Egypt, Cairo,Nasr City,0.8779147267341614,Data Scientist
1,Fresh Data Entry,Confidential,Full Time,https://wuzzuf.net/jobs/p/pDKVqf4FauNX-Fresh-Data-Entry-Cairo-Egypt,Egypt, Cairo,Nasr City,0.43298932909965515,Data Scientist
2,Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,Full Time,https://wuzzuf.net/jobs/p/AAtc875jdCKu-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt,Egypt, Cairo,Nasr City,0.7716661691665649,Data Analyst
3,Data Center Account Manager,EGID company,Full Time,https://wuzzuf.net/jobs/p/814QiQR0z2RM-Data-Center-Account-Manager-EGID-company-Cairo-Egypt,Egypt, Cairo,New Cairo,0.47813284397125244,Data Analyst
4,Data Entry Clerk,Confidential,Full Time,https://wuzzuf.net/jobs/p/Ppb4SZ1vKjtF-Data-Entry-Clerk-Cairo-Egypt,Egypt, Cairo,New Cairo,0.39442992210388184,Data Engineer
5,Data Engineer,Carina Wear,Full Time,https://wuzzuf.net/jobs/p/YKCJek5dpoTx-Data-Engineer-Carina-Wear-Cairo-Egypt,Egypt, Cairo,New Cairo,0.4940531253814697,Data Engineer
6,Data Entry Clerk,Samaya Electronics Egypt LTD,Part Time,https://wuzzuf.net/jobs/p/lHLSuamyMTDw-Data-Entry-Clerk-Samaya-Electronics-Egypt-LTD-Cairo-Egypt,Egypt, Cairo,Nasr City,0.39442992210388184,Data Engineer
7,Data Analyst,ITCan,Full Time,https://wuzzuf.net/jobs/p/d4PqXK4m2Rt1-Data-Analyst-ITCan-Cairo-Egypt,Egypt, Cairo,,0.5739696621894836,Data Analyst
8,Data Engineer,UMX Studio,Full Time,https://wuzzuf.net/jobs/p/4sCsLfQGPiLo-Data-Engineer-UMX-Studio-Giza-Egypt,Egypt, Giza,Dokki,0.4940531253814697,Data Engineer
9,Data Validation Specialist,Aman Holding,Shift Based,https://wuzzuf.net/jobs/p/Icga9hUSTuNx-Data-Validation-Specialist-Aman-Holding-Giza-Egypt,Egypt, Giza,,0.6678414940834045,Data Scientist
