,id,city_name_en,governorate_name_en
0,1,15 May,Cairo
1,1,Al Azbakeyah,Cairo
2,1,Al Basatin,Cairo
3,1,Tebin,Cairo
4,1,El-Khalifa,Cairo
5,1,El darrasa,Cairo
6,1,Aldarb Alahmar,Cairo
7,1,Zawya al-Hamra,Cairo
8,1,El-Zaytoun,Cairo
9,1,Sahel,Cairo
10,1,El Salam,Cairo
11,1,Sayeda Zeinab,Cairo
12,1,El Sharabeya,Cairo
13,1,Shorouk,Cairo
14,1,El Daher,Cairo
15,1,Ataba,Cairo
16,1,New Cairo,Cairo
17,1,El Marg,Cairo
18,1,Ezbet el Nakhl,Cairo
19,1,Matareya,Cairo
20,1,Maadi,Cairo
21,1,Maasara,Cairo
22,1,Mokattam,Cairo
23,1,Manyal,Cairo
24,1,Mosky,Cairo
25,1,Nozha,Cairo
26,1,Waily,Cairo
27,1,Bab al-Shereia,Cairo
28,1,Bolaq,Cairo
29,1,Garden City,Cairo
30,1,Hadayek El-Kobba,Cairo
31,1,Helwan,Cairo
32,1,Dar Al Salam,Cairo
33,1,Shubra,Cairo
34,1,Tura,Cairo
35,1,Abdeen,Cairo
36,1,Abaseya,Cairo
37,1,Ain Shams,Cairo
38,1,Nasr City,Cairo
39,1,New Heliopolis,Cairo
40,1,Masr Al Qadima,Cairo
41,1,Mansheya Nasir,Cairo
42,1,Badr City,Cairo
43,1,Obour City,Cairo
44,1,Cairo Downtown,Cairo
45,1,Zamalek,Cairo
46,1,Kasr El Nile,Cairo
47,1,Rehab,Cairo
48,1,Katameya,Cairo
49,1,Madinty,Cairo
50,1,Rod Alfarag,Cairo
51,1,Sheraton,Cairo
52,1,El-Gamaleya,Cairo
53,1,10th of Ramadan City,Cairo
54,1,Helmeyat Alzaytoun,Cairo
55,1,New Nozha,Cairo
56,1,Capital New,Cairo
57,2,Giza,Giza
58,2,Sixth of October,Giza
59,2,Cheikh Zayed,Giza
60,2,Hawamdiyah,Giza
61,2,Al Badrasheen,Giza
62,2,Saf,Giza
63,2,Atfih,Giza
64,2,Al Ayat,Giza
65,2,Al-Bawaiti,Giza
66,2,ManshiyetAl Qanater,Giza
67,2,Oaseem,Giza
68,2,Kerdasa,Giza
69,2,Abu Nomros,Giza
70,2,Kafr Ghati,Giza
71,2,Manshiyet Al Bakari,Giza
72,2,Dokki,Giza
73,2,Agouza,Giza
74,2,Haram,Giza
75,2,Warraq,Giza
76,2,Imbaba,Giza
77,2,Boulaq Dakrour,Giza
78,2,Al Wahat Al Baharia,Giza
79,2,Omraneya,Giza
80,2,Moneeb,Giza
81,2,Bin Alsarayat,Giza
82,2,Kit Kat,Giza
83,2,Mohandessin,Giza
84,2,Faisal,Giza
85,2,Abu Rawash,Giza
86,2,Hadayek Alahram,Giza
87,2,Haraneya,Giza
88,2,Hadayek October,Giza
89,2,Saft Allaban,Giza
90,2,Smart Village,Giza
91,2,Ard Ellwaa,Giza
92,3,Abu Qir,Alexandria
93,3,Al Ibrahimeyah,Alexandria
94,3,Azarita,Alexandria
95,3,Anfoushi,Alexandria
96,3,Dekheila,Alexandria
97,3,El Soyof,Alexandria
98,3,Ameria,Alexandria
99,3,El Labban,Alexandria
100,3,Al Mafrouza,Alexandria
101,3,El Montaza,Alexandria
102,3,Mansheya,Alexandria
103,3,Naseria,Alexandria
104,3,Ambrozo,Alexandria
105,3,Bab Sharq,Alexandria
106,3,Bourj Alarab,Alexandria
107,3,Stanley,Alexandria
108,3,Smouha,Alexandria
109,3,Sidi Bishr,Alexandria
110,3,Shads,Alexandria
111,3,Gheet Alenab,Alexandria
112,3,Fleming,Alexandria
113,3,Victoria,Alexandria
114,3,Camp Shizar,Alexandria
115,3,Karmooz,Alexandria
116,3,Mahta Alraml,Alexandria
117,3,Mina El-Basal,Alexandria
118,3,Asafra,Alexandria
119,3,Agamy,Alexandria
120,3,Bakos,Alexandria
121,3,Boulkly,Alexandria
122,3,Cleopatra,Alexandria
123,3,Glim,Alexandria
124,3,Al Mamurah,Alexandria
125,3,Al Mandara,Alexandria
126,3,Moharam Bek,Alexandria
127,3,Elshatby,Alexandria
128,3,Sidi Gaber,Alexandria
129,3,North Coast/sahel,Alexandria
130,3,Alhadra,Alexandria
131,3,Alattarin,Alexandria
132,3,Sidi Kerir,Alexandria
133,3,Elgomrok,Alexandria
134,3,Al Max,Alexandria
135,3,Marina,Alexandria
136,4,Mansoura,Dakahlia
137,4,Talkha,Dakahlia
138,4,Mitt Ghamr,Dakahlia
139,4,Dekernes,Dakahlia
140,4,Aga,Dakahlia
141,4,Menia El Nasr,Dakahlia
142,4,Sinbillawin,Dakahlia
143,4,El Kurdi,Dakahlia
144,4,Bani Ubaid,Dakahlia
145,4,Al Manzala,Dakahlia
146,4,tami al'amdid,Dakahlia
147,4,aljamalia,Dakahlia
148,4,Sherbin,Dakahlia
149,4,Mataria,Dakahlia
150,4,Belqas,Dakahlia
151,4,Meet Salsil,Dakahlia
152,4,Gamasa,Dakahlia
153,4,Mahalat Damana,Dakahlia
154,4,Nabroh,Dakahlia
155,5,Hurghada,Red Sea
156,5,Ras Ghareb,Red Sea
157,5,Safaga,Red Sea
158,5,El Qusiar,Red Sea
159,5,Marsa Alam,Red Sea
160,5,Shalatin,Red Sea
161,5,Halaib,Red Sea
162,5,Aldahar,Red Sea
163,6,Damanhour,Beheira
164,6,Kafr El Dawar,Beheira
165,6,Rashid,Beheira
166,6,Edco,Beheira
167,6,Abu al-Matamir,Beheira
168,6,Abu Homs,Beheira
169,6,Delengat,Beheira
170,6,Mahmoudiyah,Beheira
171,6,Rahmaniyah,Beheira
172,6,Itai Baroud,Beheira
173,6,Housh Eissa,Beheira
174,6,Shubrakhit,Beheira
175,6,Kom Hamada,Beheira
176,6,Badr,Beheira
177,6,Wadi Natrun,Beheira
178,6,New Nubaria,Beheira
179,6,Alnoubareya,Beheira
180,7,Fayoum,Fayoum
181,7,Fayoum El Gedida,Fayoum
182,7,Tamiya,Fayoum
183,7,Snores,Fayoum
184,7,Etsa,Fayoum
185,7,Epschway,Fayoum
186,7,Yusuf El Sediaq,Fayoum
187,7,Hadqa,Fayoum
188,7,Atsa,Fayoum
189,7,Algamaa,Fayoum
190,7,Sayala,Fayoum
191,8,Tanta,Gharbiya
192,8,Al Mahalla Al Kobra,Gharbiya
193,8,Kafr El Zayat,Gharbiya
