Unnamed: 0,title,company,city_country,job_type,job_link,details,day_posted
0,Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/War6yWbG420X-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,"EpsilonAI - Nasr City, Cairo, Egypt 25 days ago",
1,Fresh Data Entry,Confidential -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/pDKVqf4FauNX-Fresh-Data-Entry-Cairo-Egypt,"Confidential - Nasr City, Cairo, Egypt 25 days ago",
2,Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/AAtc875jdCKu-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt,"EpsilonAI - Nasr City, Cairo, Egypt 25 days ago",
3,Data Center Account Manager,EGID company -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/814QiQR0z2RM-Data-Center-Account-Manager-EGID-company-Cairo-Egypt,"EGID company - New Cairo, Cairo, Egypt 23 days ago",
4,Data Entry Clerk,Confidential -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/Ppb4SZ1vKjtF-Data-Entry-Clerk-Cairo-Egypt,"Confidential - New Cairo, Cairo, Egypt 1 month ago",
5,Data Engineer,Carina Wear -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/YKCJek5dpoTx-Data-Engineer-Carina-Wear-Cairo-Egypt,"Carina Wear - New Cairo, Cairo, Egypt 1 month ago",
6,Data Entry Clerk,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt",Part Time,https://wuzzuf.net/jobs/p/lHLSuamyMTDw-Data-Entry-Clerk-Samaya-Electronics-Egypt-LTD-Cairo-Egypt,"Samaya Electronics Egypt LTD - Nasr City, Cairo, Egypt 1 month ago",
7,Data Analyst,ITCan -,"Rehab City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/d4PqXK4m2Rt1-Data-Analyst-ITCan-Cairo-Egypt,"ITCan - Rehab City, Cairo, Egypt 1 month ago",
8,Data Engineer,UMX Studio -,"Dokki, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/4sCsLfQGPiLo-Data-Engineer-UMX-Studio-Giza-Egypt,"UMX Studio - Dokki, Giza, Egypt 1 month ago",
9,Data Validation Specialist,Aman Holding -,"Giza, Giza, Egypt",Shift Based,https://wuzzuf.net/jobs/p/Icga9hUSTuNx-Data-Validation-Specialist-Aman-Holding-Giza-Egypt,"Aman Holding - Giza, Giza, Egypt 1 month ago",
