,Unnamed: 0,Title,Company,Job_Type,Job_Link,Details,Day_Posted,Country,Governorate,City,Class,score
0,0,Data Science Instructor,EpsilonAI,Full Time,https://wuzzuf.net/jobs/p/War6yWbG420X-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,"EpsilonAI - Nasr City, Cairo, Egypt 25 days ago",,Egypt, Cairo,Nasr City,Data Scientist,0.7839696407318115
1,1,Fresh Data Entry,Confidential,Full Time,https://wuzzuf.net/jobs/p/pDKVqf4FauNX-Fresh-Data-Entry-Cairo-Egypt,"Confidential - Nasr City, Cairo, Egypt 25 days ago",,Egypt, Cairo,Nasr City,Data Entry,0.8670555949211121
2,2,Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,Full Time,https://wuzzuf.net/jobs/p/AAtc875jdCKu-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt,"EpsilonAI - Nasr City, Cairo, Egypt 25 days ago",,Egypt, Cairo,Nasr City,Data Analyst,0.6751072406768799
3,3,Data Center Account Manager,EGID company,Full Time,https://wuzzuf.net/jobs/p/814QiQR0z2RM-Data-Center-Account-Manager-EGID-company-Cairo-Egypt,"EGID company - New Cairo, Cairo, Egypt 23 days ago",,Egypt, Cairo,New Cairo,Data Analyst,0.2319856882095337
4,4,Data Entry Clerk,Confidential,Full Time,https://wuzzuf.net/jobs/p/Ppb4SZ1vKjtF-Data-Entry-Clerk-Cairo-Egypt,"Confidential - New Cairo, Cairo, Egypt 1 month ago",,Egypt, Cairo,New Cairo,Data Entry,0.9643691778182983
5,5,Data Engineer,Carina Wear,Full Time,https://wuzzuf.net/jobs/p/YKCJek5dpoTx-Data-Engineer-Carina-Wear-Cairo-Egypt,"Carina Wear - New Cairo, Cairo, Egypt 1 month ago",,Egypt, Cairo,New Cairo,Data Engineer,0.3696464002132416
6,6,Data Entry Clerk,Samaya Electronics Egypt LTD,Part Time,https://wuzzuf.net/jobs/p/lHLSuamyMTDw-Data-Entry-Clerk-Samaya-Electronics-Egypt-LTD-Cairo-Egypt,"Samaya Electronics Egypt LTD - Nasr City, Cairo, Egypt 1 month ago",,Egypt, Cairo,Nasr City,Data Entry,0.9643691778182983
7,7,Data Analyst,ITCan,Full Time,https://wuzzuf.net/jobs/p/d4PqXK4m2Rt1-Data-Analyst-ITCan-Cairo-Egypt,"ITCan - Rehab City, Cairo, Egypt 1 month ago",,Egypt, Cairo,,Data Analyst,0.4310283362865448
8,8,Data Engineer,UMX Studio,Full Time,https://wuzzuf.net/jobs/p/4sCsLfQGPiLo-Data-Engineer-UMX-Studio-Giza-Egypt,"UMX Studio - Dokki, Giza, Egypt 1 month ago",,Egypt, Giza,Dokki,Data Engineer,0.3696464002132416
9,9,Data Validation Specialist,Aman Holding,Shift Based,https://wuzzuf.net/jobs/p/Icga9hUSTuNx-Data-Validation-Specialist-Aman-Holding-Giza-Egypt,"Aman Holding - Giza, Giza, Egypt 1 month ago",,Egypt, Giza,,Data Scientist,0.6069516539573669
10,10,Data Labeler,Micro Engineering,Full Time,https://wuzzuf.net/jobs/p/rdipBS1vqMeB-Data-Labeler-Micro-Engineering-Cairo-Egypt,"Micro Engineering - Heliopolis, Cairo, Egypt 1 month ago",,Egypt, Cairo,,Data Analyst,0.3259862959384918
11,11,Data Validation Supervisor,Aman Holding,Full Time,https://wuzzuf.net/jobs/p/MFgyoVXu01VC-Data-Validation-Supervisor-Aman-Holding-Giza-Egypt,"Aman Holding - Giza, Egypt 1 month ago",,Egypt,Giza,,Data Scientist,0.34059375524520874
12,12,Data Entry Clerk,Confidential,Full Time,https://wuzzuf.net/jobs/p/gZWjQGHyBzq1-Data-Entry-Clerk-Cairo-Egypt,"Confidential - Nasr City, Cairo, Egypt 1 month ago",,Egypt, Cairo,Nasr City,Data Entry,0.9643691778182983
13,13,Senior Data Analyst,Sceel.io,Full Time,https://wuzzuf.net/jobs/p/jfoceU3MA4Hg-Senior-Data-Analyst-Sceel-io-Cairo-Egypt,"Sceel.io - Maadi, Cairo, Egypt 1 month ago",,Egypt, Cairo,Maadi,Data Analyst,0.6564500331878662
14,14,Data Entry Clerk,Confidential,Freelance / Project,https://wuzzuf.net/jobs/p/bHExpTp2Il4C-Data-Entry-Clerk-Cairo-Egypt,"Confidential - Cairo, Egypt 1 month ago",,Egypt,Cairo,,Data Entry,0.9643691778182983
15,15,Contracting (Data Loading),Almosafer,Full Time,https://wuzzuf.net/jobs/p/ZZXsXqP5nb3l-Contracting-Data-Loading-Almosafer-Giza-Egypt,"Almosafer - Mohandessin, Giza, Egypt 1 month ago",,Egypt, Giza,Mohandessin,Data Engineer,0.20135609805583954
16,16,Data Entry Clerk,Femex Egypt,Full Time,https://wuzzuf.net/jobs/p/WTcKCwh5S5IY-Data-Entry-Clerk-Femex-Egypt-Cairo-Egypt,"Femex Egypt - Sheraton, Cairo, Egypt 2 months ago",,Egypt, Cairo,Sheraton,Data Entry,0.9643691778182983
17,17,data analysis,Care Services EG,Full Time,https://wuzzuf.net/jobs/p/Hvr2zEMqwQ0Y-data-analysis-Care-Services-EG-Cairo-Egypt,"Care Services EG - Abbassia, Cairo, Egypt 2 months ago",,Egypt, Cairo,,Data Analyst,0.36884596943855286
18,18,Data entry,one2twelve ,Full Time,https://wuzzuf.net/jobs/p/yFzNqEctL8q1-Data-entry-one2twelve-Giza-Egypt,"one2twelve  - Haram, Giza, Egypt 2 months ago",,Egypt, Giza,Haram,Data Entry,0.8530229330062866
19,19,Data Research Assistant,Puffin,Full Time,https://wuzzuf.net/jobs/p/ndgoOl3e42fX-Data-Research-Assistant-Puffin-Giza-Egypt,"Puffin - Sheikh Zayed, Giza, Egypt 2 months ago",,Egypt, Giza,Sheikh Zayed,Data Analyst,0.38030195236206055
