title,Class,score
Data Science Instructor,Data scientist,1
Fresh Data Entry,Data entry,1
Data Entry Clerk,Data entry,2
Data Engineer,Data engineer,1
Data Entry Clerk,Data entry,2
Data Analyst,Data analyst,1
Data Engineer,Data engineer,1
Data Validation Specialist,Data entry,1
Data Labeler,Data entry,1
Data Validation Supervisor,Data entry,1
Data Entry Clerk,Data entry,2
Senior Data Analyst,Data analyst,1
Data Entry Clerk,Data entry,2
Data Entry Clerk,Data entry,2
data analysis,Data analyst,1
Data entry,Data entry,1
Data Entry Assistant,Data entry,1
Data Entry Specialist,Data entry,1
Senior Data Modeler,Data engineer,1
Senior Data Scientist - Hybrid,Data scientist,1
Accountant Data Entry,Data entry,1
Magento Data Entry,Data entry,1
"SAP Consultant "" business One""",BI engineer,1
SAP Business Analyst,Data analyst,1
Data Engineer,Data engineer,1
Fitness Data Entry Clerk,Data entry,2
Data Entry Clerk,Data entry,2
Business Analyst - Multinational Company,Data analyst,1
Business Analyst,Data analyst,1
Business Intelligence Specialist,BI engineer,1
business analysis,Data analyst,1
Business Analyst,Data analyst,1
International Business Development Senior Specialist,BI engineer,1
Business Market Researcher,BI engineer,1
SAP Consultant ( Business One ),BI engineer,1
Trading Business Unit Specialist,BI engineer,1
Associate Business Researcher,BI engineer,1
Sales Business development manager (CCTV),BI engineer,1
Business Coordinator (Corporate Development Department),BI engineer,1
Business Analyst - Commercial Business Control,BI engineer,2
Senior Quality Assurance Officer ( Business Process ),BI engineer,1
Business Analyst | German Speaker,Data analyst,1
Business Consultant,BI engineer,1
Software Business Analyst,Data analyst,1
Business Development,BI engineer,1
Business Development Executive,BI engineer,1
Software Business Analyst,Data analyst,1
HR Business Partner,BI engineer,1
Senior Business Development Executive,BI engineer,1
Junior HR Business Partner (Real estate and Hospitality),BI engineer,1
Business Developer,BI engineer,2
ERP Functional Support (Microsoft Dynamics - Business Central 365),BI engineer,1
Business Developer - E-commerce,BI engineer,2
HR Business Partner,BI engineer,1
Business Developer,BI engineer,2
SAP Business One Consultant,BI engineer,1
Associate Business Researcher (Skyminder),BI engineer,1
Export Business Development Manager-Fresh Fruits & Citrus only,BI engineer,1
Business Development Specialist,BI engineer,1
Senior Business Analyst,Data analyst,1
Senior SQL Database Administrator,Data engineer,1
Employer Branding Business Partner,BI engineer,1
Business Development Team Lead,BI engineer,1
International Business Development Senior Specialist,BI engineer,1
Business Development Representative,BI engineer,1
Business Analyst,Data analyst,1
Business Development Intern,BI engineer,1
Business Developer,BI engineer,2
Investment Analyst for Business Development Division,Data analyst,1
Business Analyst,Data analyst,1
Senior Business Analyst,Data analyst,1
Business Development Manager - North Africa,BI engineer,1
Business Development Section Head,BI engineer,1
Software Business Analyst - Job Description,Data analyst,1
Business Process Management (BPM) Specialist / Senior BPM Specialist,BI engineer,1
Senior Business Analyst,Data analyst,1
Business Development Manager / Account Manager,BI engineer,1
HR Business Partner,BI engineer,1
Business Analyst,Data analyst,1
International Business Development Specialist,BI engineer,1
Senior Business Analyst,Data analyst,1
Senior Business Developer,BI engineer,2
Business Analyst,Data analyst,1
Business Development Manager,BI engineer,1
Database Administrator,Data engineer,1
Business Development Specialist,BI engineer,1
MS SQL Database Administrator,Data engineer,1
Oracle Database Administrator,Data engineer,1
Software Business Analyst,Data analyst,1
Business Analyst (Excellent English Speaker),Data analyst,1
HR Business Partner,BI engineer,1
Business Development Manager(Pharmaceutical),BI engineer,1
Software Business Analyst,Data analyst,1
